label,job_description
Data Engineer,"Design and maintain scalable ETL pipelines for batch and streaming data"
Data Engineer,"Build and optimize data ingestion workflows using Airflow and Spark"
Data Engineer,"Develop data warehouse models and star schemas for analytics teams"
Data Engineer,"Implement data validation and quality monitoring solutions"
Data Engineer,"Collaborate with analysts to deliver reliable data marts"
Data Engineer,"Manage data pipelines using Python and distributed systems"
Data Engineer,"Deploy ingestion frameworks to move data from APIs and databases"
Data Engineer,"Optimize SQL queries and warehouse performance"
Data Engineer,"Create workflows for real-time data processing on cloud platforms"
Data Engineer,"Maintain Hadoop, Spark, and distributed computation clusters"
Data Engineer,"Build scalable data lake architecture for enterprise analytics"
Data Engineer,"Create lineage and metadata tracking for all data assets"
Data Engineer,"Develop fault-tolerant ingestion pipelines in AWS"
Data Engineer,"Implement CDC (Change Data Capture) solutions"
Data Engineer,"Automate data preparation for machine learning pipelines"
Data Engineer,"Optimize data movement between OLTP and OLAP systems"
Data Engineer,"Write modular Python code for data transformations"
Data Engineer,"Build frameworks for schema enforcement and validation"
Data Engineer,"Integrate third-party APIs for ingestion and enrichment"
Data Engineer,"Monitor pipeline stability and reduce processing bottlenecks"
Data Engineer,"Develop batch processing workflows using Spark SQL"
Data Engineer,"Build and maintain data catalogs for enterprise teams"
Data Engineer,"Design data retention and archival strategies"
Data Engineer,"Collaborate with ML engineers on feature extraction pipelines"
Data Engineer,"Implement orchestration using Airflow DAGs"
ML Engineer,"Train and deploy machine learning models for prediction tasks"
ML Engineer,"Optimize model performance using hyperparameter tuning"
ML Engineer,"Implement model serving APIs for real-time inference"
ML Engineer,"Monitor model drift and retrain when necessary"
ML Engineer,"Build CI/CD pipelines for ML workflows"
ML Engineer,"Develop custom feature engineering pipelines"
ML Engineer,"Deploy models using Docker and Kubernetes"
ML Engineer,"Optimize GPU usage for deep learning workloads"
ML Engineer,"Integrate MLflow for experiment tracking"
ML Engineer,"Convert notebooks into production Python modules"
ML Engineer,"Implement vector search and embedding models"
ML Engineer,"Build streaming ML inference services"
ML Engineer,"Develop multi-model architectures for ensemble predictions"
ML Engineer,"Implement transformers for NLP tasks"
ML Engineer,"Use PyTorch and TensorFlow for deep learning solutions"
ML Engineer,"Create monitoring dashboards for model performance"
ML Engineer,"Optimize memory usage of training pipelines"
ML Engineer,"Develop anomaly detection models using statistical ML"
ML Engineer,"Build automatic model retraining workflows"
ML Engineer,"Test ML models using cross-validation and bootstrapping"
ML Engineer,"Prepare large datasets for supervised learning"
ML Engineer,"Implement explainability frameworks like SHAP or LIME"
ML Engineer,"Deploy models on cloud platforms like AWS Sagemaker"
ML Engineer,"Develop recommendation systems using embeddings"
ML Engineer,"Debug data leakage and training issues in ML pipelines"
Security Analyst,"Monitor SIEM dashboards for suspicious log activity"
Security Analyst,"Investigate alerts and triage potential threats"
Security Analyst,"Analyze firewall and network logs for anomalies"
Security Analyst,"Perform vulnerability scans and risk assessments"
Security Analyst,"Respond to phishing and malware incidents"
Security Analyst,"Develop playbooks for incident response"
Security Analyst,"Analyze suspicious user behavior using UEBA systems"
Security Analyst,"Prepare reports for SOC operations"
Security Analyst,"Conduct threat hunting in cloud environments"
Security Analyst,"Monitor IDS and IPS signatures"
Security Analyst,"Analyze endpoint detection alerts"
Security Analyst,"Review email gateway logs for malicious patterns"
Security Analyst,"Create dashboards for SOC monitoring"
Security Analyst,"Investigate brute force and authentication failures"
Security Analyst,"Document incidents and remediation steps"
Security Analyst,"Perform forensic analysis on compromised systems"
Security Analyst,"Monitor DLP alerts and enforce data policies"
